X1,X2,X3,X4,X5,X6
,,,,,
6.9,84.9,30.2,58.3,27.3,-14.2
,,,,,
8.4,172.6,38.8,87.5,39.8,-34.1
,,,,,
5.7,154.2,31.7,83.5,26,-15.8
,,,,,
7.4,35.2,24.2,14.2,29.4,-13.9
,,,,,
8.5,69.2,28.1,46.7,26.6,-13.9
,,,,,
13.8,111,10.4,57.9,26.2,-22.6
,,,,,
1.7,704.1,7.5,73.8,50.5,-40.9
,,,,,
3.6,69.9,30,61.3,26.4,4
,,,,,
8.2,65.4,12.1,41,11.7,-32.5
,,,,,
5,132.1,13.6,17.4,14.7,-8.1
,,,,,
2.1,179.9,18.3,34.4,24.2,12.3
,,,,,
4.2,139.9,21.3,64.9,21.7,-35
,,,,,
3.9,108.7,33.1,82,26.3,-2
,,,,,
4.1,123.2,38.3,83.3,32.6,-2.2
,,,,,
4.2,104.7,36.9,61.8,21.6,-14.2
,,,,,
9.4,61.5,22.4,22.2,33.5,-32.7
,,,,,
3.6,68.2,19.6,8.6,27,-13.4
,,,,,
7.6,96.9,29.1,62.8,32.2,-8.7
,,,,,
8.5,258,32.8,86.2,16,0.5
,,,,,
7.5,32,26.5,18.7,23.7,-0.6
,,,,,
4.1,127,41.5,78.6,23.5,-12.5
,,,,,
4.6,27.1,39,14.6,38.2,45.4
,,,,,
7.2,70.7,20.2,41.4,27.6,-38.2
,,,,,
13.4,38.3,20.4,13.9,22.5,-33.6
,,,,,
10.3,54,29.8,43.7,29.4,-10
,,,,,
9.4,101.5,36,78.2,29.9,-14.6
,,,,,
2.5,185.9,37.6,88.5,27.5,-7.6
,,,,,
10.3,61.2,31.8,57.2,27.2,-17.6
,,,,,
7.5,38.6,28.6,5.7,31.3,27.2
,,,,,
18.7,52.6,39.7,55.8,28.7,-2.9
,,,,,
5.1,62.6,23.8,29,29.3,-10.3
,,,,,
3.7,207.7,12.3,77.3,32,-45.6
,,,,,
10.3,42.4,31.1,51.7,26.2,-31.9
,,,,,
7.3,105.2,32.9,68.1,25.2,-35.7
,,,,,
4.2,68.6,22.1,41.2,21.4,-8.8
,,,,,
2.1,157.3,27.1,60,23.5,6.2
,,,,,
2.5,58.5,20.3,29.8,24.1,-27.5
,,,,,
8.1,63.1,30,66.4,26,-37.4
,,,,,
10.3,86.4,15.9,39.9,38.5,-13.5
,,,,,
10.5,77.5,36.4,72.3,26,-21.6
,,,,,
5.8,63.5,24.2,19.5,28.3,2.2
,,,,,
6.9,68.9,20.7,6.6,25.8,-2.4
,,,,,
9.3,102.8,34.9,82.4,18.4,-12
,,,,,
11.4,86.6,38.7,78.2,18.4,-12.8
,,,,,